 iks ibn en[eV] re[meV] im[meV]
   1   1   -0.2337393733E+02   -0.1571793102E+03    0.1561090787E+01
   1   2   -0.2333885251E+01   -0.1339923280E+04    0.5109318581E+02
   1   3   -0.2333885249E+01   -0.1339915890E+04    0.5109348902E+02
   1   4   -0.2333885245E+01   -0.1339913755E+04    0.5109334724E+02
   1   5    0.3387374971E+01   -0.1700849825E+04    0.7833461326E+02
   1   6    0.3387374973E+01   -0.1700843597E+04    0.7833391630E+02
   1   7    0.3387374976E+01   -0.1700834138E+04    0.7833453468E+02
   1   8    0.1071582789E+02   -0.6325759416E+02    0.4863857337E+03
   2   1   -0.2169092977E+02   -0.1559892022E+03    0.8028566541E+02
   2   2   -0.8725938427E+01   -0.7075148693E+03    0.1249621849E+03
   2   3   -0.4014131490E+01   -0.1041359762E+04    0.1856488846E+03
   2   4   -0.4014131490E+01   -0.1041359611E+04    0.1856482667E+03
   2   5    0.5534483729E+01   -0.2202879242E+04    0.3315924080E+03
   2   6    0.5534483729E+01   -0.2202869232E+04    0.3315935853E+03
   2   7    0.5822244406E+01   -0.1068764522E+04    0.4911506984E+03
   2   8    0.1215434359E+02   -0.1207669274E+04    0.1432279947E+03
   3   1   -0.1776401330E+02   -0.4191775348E+03    0.1494681711E+03
   3   2   -0.1531104908E+02   -0.5901148570E+03    0.2656981566E+02
   3   3   -0.5049120239E+01   -0.1151115178E+04    0.1061049636E+03
   3   4   -0.5049120238E+01   -0.1151115694E+04    0.1061050901E+03
   3   5    0.6266426786E+01   -0.1359783733E+04    0.2583045509E+03
   3   6    0.6266426786E+01   -0.1359789557E+04    0.2583032817E+03
   3   7    0.6475047527E+01   -0.2612540610E+03    0.2192617592E+03
   3   8    0.1348897568E+02   -0.1585345153E+04    0.4678592479E+02
   4   1   -0.2113166304E+02   -0.1473103840E+03    0.5590172629E+02
   4   2   -0.6776427342E+01   -0.7889622814E+03    0.1139911468E+03
   4   3   -0.6300962779E+01   -0.1067479391E+04    0.8999050045E+02
   4   4   -0.6300962779E+01   -0.1067479643E+04    0.8999044273E+02
   4   5    0.2333885245E+01   -0.1142497570E+04    0.8817503416E+02
   4   6    0.8156326096E+01   -0.5208211376E+03    0.1162802875E+03
   4   7    0.9189739771E+01   -0.2692431341E+04    0.4998167927E+03
   4   8    0.9189739772E+01   -0.2692429491E+04    0.4998173854E+03
   5   1   -0.1748322288E+02   -0.5540848944E+02    0.2047263630E+03
   5   2   -0.1285097012E+02   -0.4312780880E+03    0.1427177763E+03
   5   3   -0.8860663417E+01   -0.7509024617E+03    0.2895271845E+03
   5   4   -0.7048306967E+01   -0.1110277119E+04    0.1958551085E+03
   5   5    0.4010829243E+01   -0.1149473553E+04    0.3031777915E+03
   5   6    0.9222490075E+01   -0.1814165627E+04    0.6353476605E+03
   5   7    0.1043116228E+02   -0.2180137361E+04    0.5407402209E+03
   5   8    0.1089754114E+02   -0.1522033368E+04    0.5514179094E+03
   6   1   -0.1899751490E+02   -0.1851080251E+03    0.1034172353E+03
   6   2   -0.1083903223E+02   -0.6655453547E+03    0.1000471986E+03
   6   3   -0.9667047567E+01   -0.8627880842E+03    0.6943486104E+02
   6   4   -0.5245636571E+01   -0.1233833318E+04    0.2663004470E+03
   6   5    0.5768705742E+01   -0.9857559711E+03    0.6203855690E+03
   6   6    0.7697889423E+01   -0.2166101354E+04    0.2360018100E+03
   6   7    0.9973115071E+01   -0.1974835346E+04    0.6398483029E+03
   6   8    0.1149702958E+02   -0.1038144108E+04    0.2106546349E+03
   7   1   -0.1483824477E+02   -0.4140617671E+03    0.4986663540E+02
   7   2   -0.1483824477E+02   -0.4140614242E+03    0.4986661570E+02
   7   3   -0.8431100752E+01   -0.1042168205E+04    0.3461094056E+02
   7   4   -0.8431100752E+01   -0.1042167929E+04    0.3461098463E+02
   7   5    0.2760439146E+01   -0.5163310464E+03    0.7401696145E+02
   7   6    0.2760439148E+01   -0.5163297507E+03    0.7401691370E+02
   7   7    0.1423687607E+02   -0.2626063579E+04    0.7847388622E+02
   7   8    0.1423687607E+02   -0.2626069522E+04    0.7847471967E+02
   8   1   -0.1410384730E+02   -0.3381204204E+03    0.9587664361E+02
   8   2   -0.1410384730E+02   -0.3381197845E+03    0.9587681031E+02
   8   3   -0.1032903261E+02   -0.8820238818E+03    0.5974767416E+02
   8   4   -0.1032903261E+02   -0.8820214457E+03    0.5974763069E+02
   8   5    0.8502718026E+01   -0.1447307807E+04    0.2144954171E+03
   8   6    0.8502718036E+01   -0.1447288389E+04    0.2144953155E+03
   8   7    0.9895984415E+01   -0.1767641416E+04    0.4140277888E+03
   8   8    0.9895984421E+01   -0.1767624768E+04    0.4140225595E+03
